ds,yhat,yhat_lower,yhat_upper,Cambio_1d,Cambio_7d
2025-04-06,84187.07066859312,80471.24635653295,87595.07040838261,-0.35694780440972407,-1.214522900563475
2025-04-07,83928.40609974101,80355.15165579469,87632.3823044352,-0.3072497555715592,-1.3155847842902912
2025-04-08,83473.64510002117,80256.91147181606,86980.90477889976,-0.541843960648325,-1.2622649836252386
2025-04-09,83268.09827075098,79805.17781694492,86721.70196362757,-0.2462415880172597,-1.0920820993090774
2025-04-10,82827.16947049405,79238.01929674392,86214.18598085911,-0.5295290866656144,-1.5942287411079725
2025-04-11,82487.52890108127,78854.58021864179,85989.90671917435,-0.4100593701125699,-1.0984410304980652
2025-04-12,82041.60597482859,78924.49106438598,85649.78886146143,-0.540594356738977,-2.8963003292901135
2025-04-13,81687.71170056536,78536.9360501594,84982.20602048018,-0.4313595157703465,-2.968815696018956
2025-04-14,81382.13293982897,77805.95560966003,85202.97308521812,-0.37408167565828876,-3.0338633583557373
2025-04-15,80885.5645323645,77434.24112882689,84334.5994450694,-0.6101688288651874,-3.1004762815323716
2025-04-16,80642.9399176808,77344.47224600606,84245.21885306275,-0.2999603403727624,-3.152657989779395
2025-04-17,80169.22666171583,76283.02274149192,83513.30542218052,-0.5874206179096619,-3.209022867460254
2025-04-18,79800.62654031174,76124.67653456834,83310.2027636998,-0.4597775689660133,-3.2573437422178664
2025-04-19,79329.0963183009,75519.47717597045,82884.27972921183,-0.5908853632529354,-3.3062610419400174
2025-04-20,78952.49795101555,75401.44299225559,82431.09669247577,-0.474729178527733,-3.348378467958568
2025-04-21,78626.71953588696,74810.17494231218,82164.1288651866,-0.4126258491918944,-3.385771918732161
2025-04-22,78112.13201028857,74413.33966828077,81940.33100256491,-0.6544690260968267,-3.4288349696393716
2025-04-23,77853.44127359755,74255.91974270187,81607.20114750619,-0.33117869149563717,-3.459073598917306
2025-04-24,77365.50128019569,73266.2577250042,81314.06864912949,-0.6267417154844912,-3.497258858877128
2025-04-25,76984.52700924466,73115.73908023557,81204.5978536346,-0.4924343081178395,-3.5289190738928777
2025-04-26,76502.62284757158,72348.1051099019,80268.46520019266,-0.625975349066199,-3.5629719761187673
2025-04-27,76117.93467608491,72055.51838817612,80199.76259249185,-0.5028431146120838,-3.5902135442114624
2025-04-28,75786.76673500218,71907.53536998507,79817.25704640977,-0.43507215808206157,-3.6119436466996
2025-04-29,75270.02820802726,71529.27785384077,79528.56836080826,-0.6818321314349785,-3.638492163915019
2025-04-30,75013.06935015369,71155.99837623832,78853.98685777385,-0.34138270436594453,-3.6483575767216836
2025-05-01,74531.47305538491,70773.10977297381,78483.4827597882,-0.6420165165095915,-3.6631679209919943
2025-05-02,74162.24131625817,70110.91579776209,78271.79842130886,-0.49540378579712163,-3.66604277850221
2025-05-03,73698.29284151713,69318.84826600479,78077.44517469812,-0.625585832502773,-3.665665178097177
2025-05-04,73338.58101758221,69120.32848678964,77686.20050058153,-0.48808705068441594,-3.65137818088479
2025-05-05,73040.17432543935,68519.33948422012,77907.22757933359,-0.40688909984680777,-3.624105537008371
