Fecha,Prediccion,Cambio_7d,Cambio_1d
2025-04-07,79235.3359375,-4.01407839537562,1.305195029613082
2025-04-08,76271.953125,-10.446524903468779,-3.739976334343409
2025-04-09,82573.953125,0.10697875607432739,8.26253916648998
2025-04-10,79725.796875,-4.0636778870153485,-3.449218721172853
2025-04-11,82945.0390625,-1.0719523384582264,4.037892769572893
2025-04-12,87327.8163683788,4.5782034523137005,5.283953513574602
2025-04-13,85872.14634623464,9.790593177754548,-1.6669030358020587
2025-04-14,84656.59712977178,6.841974137079454,-1.4155337535896706
2025-04-15,82080.95973594977,7.616176553692755,-3.04245325367114
2025-04-16,84437.83814226364,2.257231180929553,2.8714069790312324
2025-04-17,78853.58167969699,-1.0940187862537587,-6.613452671725339
2025-04-18,83326.20968910641,0.45954602097324493,5.672067031244343
2025-04-19,81564.06184564035,-6.600135858687861,-2.1147581895789025
2025-04-20,82517.45126497511,-3.906616084490855,1.1688841847271592
2025-04-21,82045.10346753735,-3.084808214333512,-0.572421700133452
2025-04-22,85953.3346851116,4.717750574090562,4.763515496230197
2025-04-23,80862.88950827454,-4.233823026077377,-5.922335876188867
2025-04-24,80220.8266155715,1.7339034026738975,-0.7940142834462316
2025-04-25,79434.17268350361,-4.670843687867432,-0.9806106035750939
2025-04-26,82387.61771420111,1.0097043353717972,3.7181038474022543
2025-04-27,79815.35095473278,-3.274580429739038,-3.1221521277522646
2025-04-28,79545.19430398104,-3.046993736250747,-0.33847705675686957
2025-04-29,77586.06975425076,-9.734660047238597,-2.462907491612276
2025-04-30,77832.06496783506,-3.7481031890770455,0.3170610579495525
2025-05-01,79378.80768885087,-1.0496263404959572,1.9872821332120871
2025-05-02,76898.77080310881,-3.1918276413563484,-3.1243060433249426
2025-05-03,79784.63774489537,-3.159431042581373,3.752812836469799
2025-05-04,82166.33867928346,2.945533279536705,2.985162309069289
2025-05-05,83593.87867686542,5.089791291994805,1.7373781289610868
2025-05-06,86087.35954356636,10.957237318816283,2.9828510247018825
2025-05-07,84466.47783538213,8.524009828454137,-1.8828335736838842
2025-05-08,84308.04884313305,6.209769707808954,-0.18756434068181171
2025-05-09,82086.2922330905,6.745909428466401,-2.635284104577529
2025-05-10,81570.26232220842,2.2380556304867127,-0.628643220255054
2025-05-11,83058.09868070594,1.0853106220337416,1.8239935929351914
